id,gen_model,judge_model,target_tone,persona,original_fragment,rewritten_fragment,score,pass,reasoning,full_rewritten
2,gpt-4o-mini,gpt-4.1,sympathetic,emotional_research_assistant,"I can't believe I have to miss the exam, I'm just ...",...,0,False,Error in evaluation,
3,gpt-4o-mini,gpt-4.1,professional,demanding_customer,I can’t believe you missed the meeting! This is ab...,...,0,False,,
31,gpt-4o-mini,gpt-4.1,sympathetic,startup_founder_under_pressure,just got the news that we missed the deadline agai...,"Subject: Concern About Recent Deadline

Dear Team,...",3,False,,"Subject: Concern About Recent Deadline

Dear Team,

I hope this message finds you well. I just received the unfortunate news that we have missed the deadline once again, and I wanted to take a moment to express my concern. It’s disheartening to see our careful planning unravel, and I can’t help but feel frustrated as it seems like we’re facing setback after setback.

I know we’ve all been working hard, and I truly believe in our potential to succeed. However, it’s becoming increasingly difficult to maintain our momentum when challenges keep arising. I understand that things can get overwhelming, but it’s crucial that we come together and find a way to move forward.

I genuinely care about our team and want us to succeed. Let’s put our heads together and figure out how we can improve our processes to avoid these situations in the future. I appreciate your understanding and look forward to collaborating on solutions.

Thank you for your attention to this matter.

Best,  
[Your Name]"
39,gpt-4o-mini,gpt-4.1,friendly,angry_manager,I guess I'm supposed to apologize for that last em...,"Subject: A Quick Note for Next Time

Hi there,

I ...",3,False,,"Subject: A Quick Note for Next Time

Hi there,

I hope you’re doing well! I wanted to touch base regarding my last email. I think we might have missed the mark a bit, and I believe with a little more teamwork, we can avoid any mix-ups in the future. Let’s work together to ensure everything runs smoothly next time. Thanks for your understanding!

Best,  
[Your Name]"
51,gpt-4o-mini,gpt-4.1,sympathetic,rude_client,"I can’t believe this happened again. Seriously, ho...","Subject: Need Your Support on Upcoming Deadlines

...",3,False,,"Subject: Need Your Support on Upcoming Deadlines

Hi [Name],

I hope this message finds you well. I wanted to take a moment to express my concern about the recent delays we’ve experienced. This situation has arisen a few times now, and I can’t help but feel overwhelmed by the impact it has on our overall workflow.

I know we all have a lot on our plates, and I truly appreciate the effort you put into your work. However, I’m feeling a bit stressed with the current chaos and would love to collaborate on finding a solution. It’s crucial for us to meet our deadlines, and I believe that with a little more focus, we can get back on track.

I’m here to support you, and I hope we can work together to ensure this doesn’t happen again in the future. Your contributions are valuable, and I’m confident we can overcome these challenges as a team.

Thank you for your understanding, and let’s touch base soon to discuss how we can improve moving forward.

Best,  
[Your Name]"
57,gpt-4o-mini,gpt-4.1,friendly,angry_manager,"Subject: Seriously?!

What the heck is going on wi...","Subject: Quick Check-In

Hi Team,

I hope you’re a...",3,False,,"Subject: Quick Check-In

Hi Team,

I hope you’re all doing well! I wanted to take a moment to chat about the recent work quality. I’ve noticed some inconsistencies lately, and I believe we can really elevate our output together. I know we have the talent and skills to do fantastic work, so let’s rally and get back on track! 

Thanks for your understanding, and I appreciate all your hard work. Looking forward to seeing us shine!

Best,  
[Your Name]"
73,gpt-4o-mini,gpt-4.1,friendly,panicked_student,"Hey! 😱

So, like, I totally need your help! I subm...","Subject: Quick Help Needed! 😊

Hi there!

I hope y...",3,False,,"Subject: Quick Help Needed! 😊

Hi there!

I hope you're doing well! I could really use your assistance with something. I submitted my project a while back, and I'm starting to get a bit anxious since I haven’t received any approval yet. I find myself checking my email constantly, and it's making me a little on edge!

I just want to make sure everything is on track, as I’m really hoping to get this approved soon. It would mean a lot to me! 

Thank you so much for your help! I really appreciate it! 

Warm regards,  
[Your Name] 💖"
3,gpt-4.1,gpt-4o-mini,professional,demanding_customer,I can’t believe you missed the meeting! This is ab...,"Subject: Missed Meeting Follow-Up

Dear [Recipient...",3,False,,"Subject: Missed Meeting Follow-Up

Dear [Recipient’s Name],

I noticed that you were unable to attend our scheduled meeting. I had several important topics to discuss, and your absence has delayed our progress. Timely communication and attendance are essential for our collaboration, and I would appreciate your attention to this moving forward.

Please let me know your availability as soon as possible so we can reschedule and address the outstanding matters.

Thank you for your prompt response.

Best regards,  
[Your Name]"
6,gpt-4.1,gpt-4o-mini,friendly,anxious_employee,"Hey,

So like, I gotta spill the beans here... thi...","Hi team,

I wanted to touch base because I’ve noti...",3,False,,"Hi team,

I wanted to touch base because I’ve noticed our recent work hasn’t quite matched the quality we all agreed on and promised. I’m concerned that if we don’t address this soon, it could become a bigger issue for us down the line.

I know we’re all committed to doing our best, so let’s come together and figure out how we can get things back on track. I’m confident we can turn this around!

Thanks for understanding, and looking forward to working through this together.

Best,  
[Your Name]"
13,gpt-4.1,gpt-4o-mini,friendly,panicked_student,I CAN'T BELIEVE THIS! I HAVE BEEN WAITING FOREVER ...,"Subject: Request for Update on Approval Status

Hi...",3,False,,"Subject: Request for Update on Approval Status

Hi there,

I hope this message finds you well. I wanted to check in regarding the status of my approval, as I’ve been waiting for quite some time and am starting to feel concerned about the delay. 

This approval is really important for me to be able to move forward, and I would appreciate any updates you might have. If there’s anything I can do to help speed up the process, please let me know. 

Thank you so much for your attention to this—I’m really hoping we can resolve it soon!

Best regards,  
[Your Name]"
14,gpt-4.1,gpt-4o-mini,professional,demanding_customer,I can't believe I have to chase this issue again. ...,Subject: Request for Immediate Assistance Regardin...,3,False,,"Subject: Request for Immediate Assistance Regarding Urgent Health Matter

Dear [Recipient Name],

I am writing to follow up on my previous messages regarding my health emergency. I shared the necessary details several days ago, but I have not yet received a response. Given the seriousness of my situation, I am extremely concerned about the delay in communication.

As a valued customer, I expected a more timely and attentive response, especially considering the urgency of my request. I would appreciate it if you could prioritize this matter and provide an update as soon as possible. My health cannot be put on hold, and I need to know that my concerns are being addressed.

Please let me know what steps are being taken to resolve this issue. I look forward to your prompt reply and a resolution at the earliest opportunity.

Thank you for your immediate attention to this matter.

Best regards,  
[Your Name]"
15,gpt-4.1,gpt-4o-mini,professional,angry_manager,"So here we are again, huh? Another deadline missed...","Subject: Follow-Up on Missed Deadline

Hi [Name],
...",3,False,,"Subject: Follow-Up on Missed Deadline

Hi [Name],

I wanted to follow up regarding the recent missed deadline. This recurring issue is causing challenges for the team, and I would appreciate more attention to meeting agreed-upon timelines. 

Please ensure that future deadlines are prioritized and that you use tools such as calendar reminders to stay on track. It’s important for everyone to take responsibility for their assigned tasks so we can avoid situations like this moving forward.

Let’s work together to improve our workflow and ensure deadlines are met in the future.

Thank you,  
[Your Name]"
